B	舒服,的,/,乾淨,的,/,公平,的,價格,/,
B	温泉,很好,/,房間,重新,裝潢,還,可以,/,就是,點心,餐食,差一點,
B	很多,網評,反映,浴缸,小,/,所以,增加,了,一點,預算,/,升級,成,/,長,浴缸,/,房型,/,可以,兩,個人,一起,泡澡,/,還有,很大,的,空間,/,很不錯,/,一千,出頭,兩,小時,/,泡湯,C,/,P,值,很,高,/,還有,下午茶,券,可以,使用,/,咖啡,廳,服務,員,很,熱情,協助,與講,解,鬆,餅,機,使用,方式,/,彷,彿,像,烘培,課,/,大大,加分,/,
A	第三次,造訪,/,之前,兩次,體驗,算不錯,/,但是,於,10,/,09,於,第三次,造訪,時,體驗,變差,了,/,泡湯,假日,988,/,2,人,2,小時,/,有位,男,櫃台,人員,說,泡,湯有,附贈,下午茶,/,20,/,00,是,最後,入場,時間,喔,/,但是,當,我們,在,趕,在,20,/,00,前到,餐廳,享用,下午茶,時,/,卻,發現,20,/,00,後,依然,可以,入場,/,順境,覺得,傻眼,/,也,有些,權益,受損,的,感覺,/,員工,教育,訓練,需要,多,加強,/,
B	還算,不錯,的,溫泉,旅店,
B	放鬆,舒適,
B	便宜,優質,的,溫泉,旅館,
B	環境,不錯,/,還有,免費,下午茶,/,重點,是,服務,也,很好,/,會,再,過來,
A	再次,相見,/,不如,懷念,/,以前,是,988,房型,任選,/,這次,我們,選,的,是,1288,的,房型,/,房間,裝修,的,很,奇怪,以前,簡單,大方,的,感覺,沒,了,變成,巴里,島,回憶,時鐘,牆,跟,巴洛克,公主,混搭風,/,床外,的,四角,木架,跟,蚊帳,顯得,多餘,/,不,知道,打掃,阿姨,要,怎麼,打掃,/,哭哭,/,躺,在,床上,兩眼,發直,看到,天花板,跟,那,公主,風,木架,似乎,都,是,粉,桃色,系,/,看得,我,不知,如何是好,/,只,剩羽絨,被,跟,枕頭,沒變,/,平日,泡湯,下午茶,根本,什麼,都,沒有,/,以前,是,大方,的,讓,客人,自己,夾,/,現在,就是,一人,一份,/,就,各放,一點,/,點,/,可能,怕,你,吃,/,我,覺得,以前,來,的,開心,感都,沒,了,/,堪稱,勤儉質樸,/,以前,供到,21,/,00,改成,20,/,00,/,連,DIY,鬆,餅,都,不,見,了,/,餐廳,的,大姐,愛理,不理,/,給你空盤,跟,叉子,/,實際,上,那,盤子,只能,夾小,肉包,/,15,/,顆,/,再來,是,可利亞,巨型,茶凍,或,布丁,/,再來,是,紫米,紅豆,粥,跟,以前,一樣,/,本來,以為,價錢,調漲,/,服務,會,優化,/,看來,是,我,想,太多,/,調,漲價,錢,應該,是,因為,房型,整修,/,價錢,上升,但,下午茶,弱化,讓,你,失落感,更大,/,溫,泉水,堪稱,溫,冷水,/,不熱,不濃,水流,也,不,夠強,/,光,放水,就,放,了,一陣子,/,記憶,中,的,嘉賓閣,只能,留在,記憶,/,後悔,介紹,了,新朋,友去,/,三顆,星純粹,是,櫃檯,小姐,打來,催促,的,態度,語氣,很,溫柔,體貼,/,是,今晚,唯一,的,救,贖,/,另一個,幸運,就是,在,九樓,/,泡湯,沒,特別,被,吵到,/,3,/,5,樓替,你,默哀,/,櫃檯,本來,在,三樓,改成,一樓,/,敬,逝去,的,青春,/,還我,記憶,中,的,嘉賓閣,啊,/,
B	下午茶,好吃,/,
